No.,구분명,유니크키,품목명[규격],비고,품목코드,단가,전월수량,현재수량,금액
338,K1모듈,BS-DM75SUB [가로등-K1],BS-DM75SUB [가로등-K1],,LK1_BS-DM75SUB-K1,"9,000.00",145,145,"1,305,000"
339,K1모듈,CSCL-M50-25,CSCL-M50-25,,,"8,448.00",20,20,"168,960"
340,K1모듈,FTLL-S50-25 CI/EVO1.6V/20V/35S,FTLL-S50-25 CI/EVO1.6V/20V/35S,,,"9,200.00",1,1,"9,200"
341,K1모듈,FTLL-S50-25 CI/EVO1.5V/20V/28S,FTLL-S50-25 CI/EVO1.5V/20V/28S,,,"9,200.00",1,1,"9,200"
342,K1모듈,SCL-L30-25,SCL-L30-25,,,"9,048.00",1,1,"9,048"
343,K1모듈,CSTL-S57-30 S36V V2 CI,CSTL-S57-30 S36V V2 CI,,,"8,932.00",1,1,"8,932"
344,K1모듈,FTLL-M57-25,FTLL-M57-25,,,"8,448.00",1,1,"8,448"
345,K1모듈,FL45-L57-30 S36V,FL45-L57-30 S36V,,,"9,652.00",2,2,"19,304"
346,K1모듈,SSTL-L30-25 B,SSTL-L30-25 B,,,"8,748.00",1,1,"8,748"
347,K1모듈,CSTL-S57-30 B V2 CI,CSTL-S57-30 B V2 CI,,,"8,632.00",1,1,"8,632"
348,K1모듈,FSTL-SE50-25 B33V 33S,FSTL-SE50-25 B33V 33S,,,"7,906.00",6,6,"47,436"
349,K1모듈,FL45-S30-25 (S) [K1],FL45-S30-25 (S) [K1],,,"8,448.00",4,4,"33,792"
350,K1모듈,CSCL-C57-30 (S) [CN-K1],CSCL-C57-30 (S) [CN-K1],,LK1CSC57_12OCNK1,"8,942.00",100,100,"894,200"
351,K1모듈,CFL45-M50-30 (S) [DN/7:5-K1],CFL45-M50-30 (S) [DN/7:5-K1],,,"8,932.00",4,4,"35,728"
352,K1모듈,FSTL-SE40-25 (S) [K1],FSTL-SE40-25 (S) [K1],,,"9,328.00",118,118,"1,100,704"
353,K1모듈,FSTL-SE65-25 (S) [K1],FSTL-SE65-25 (S) [K1],,,"9,328.00",40,40,"373,120"
354,K1모듈,CSCL-S57-25 (S) [CI/V2-K1],CSCL-S57-25 (S) [CI/V2-K1],,,"8,448.00",133,133,"1,123,584"
355,K1모듈,CFL20-M50-30 (S) [DN/7:5-K1],CFL20-M50-30 (S) [DN/7:5-K1],,,"8,932.00",133,113,"1,009,316"
356,K1모듈,CSTL-S40-30 (B36V) [CI/V2-K1],CSTL-S40-30 (B36V) [CI/V2-K1],,,"8,632.00",600,600,"5,179,200"
357,K1모듈,SSTL-L57-30 (S) 지자체/G10-K1,SSTL-L57-30 (S) 지자체/G10-K1,,,"9,652.00",0,0,0
358,K1모듈,ETLL-S50-25 (S) [CI/V2-K1],ETLL-S50-25 (S) [CI/V2-K1],,,"8,448.00",0,0,0
359,K1모듈,CSTL-C57-30 (S) [CN-K1],CSTL-C57-30 (S) [CN-K1],,,"8,942.00",0,0,0
360,K1모듈,ETLL-M57-25 (B) [DN/6:4-K1],ETLL-M57-25 (B) [DN/6:4-K1],,,"8,148.00",0,0,0
361,K1모듈,HSTL-SE40-25 (S) [K1],HSTL-SE40-25 (S) [K1],,,"7,253.00",60,60,"435,180"
362,K1모듈,HSTL-SE40-25 (S33V) [44S-K1],HSTL-SE40-25 (S33V) [44S-K1],,,"7,094.00",49,49,"347,606"
363,K1모듈,HSTL-SE30-25 (S33V) [44S-K1],HSTL-SE30-25 (S33V) [44S-K1],,,"7,094.00",49,49,"347,606"
364,K1모듈,FSTL-SE40-25 (S33V) [44S-K1],FSTL-SE40-25 (S33V) [44S-K1],,,"7,094.00",104,104,"737,776"
365,K1모듈,HSTL-M50-25 (S) [K1],HSTL-M50-25 (S) [K1],,,"7,253.00",58,58,"420,674"
366,K1모듈,CFL60-M30-25 (S) [DN/6:4-K1],CFL60-M30-25 (S) [DN/6:4-K1],,,"8,448.00",0,0,0
367,K1모듈,CFL45-M30-25 (S) [DN/6:4-K1],CFL45-M30-25 (S) [DN/6:4-K1],,,"8,448.00",3,3,"25,344"
368,K1모듈,CSTL12-M50-30 (S) [DN/6:4-K1],CSTL12-M50-30 (S) [DN/6:4-K1],,,"8,932.00",100,100,"893,200"
369,K1모듈,CSTL-S57-30 (S36V) [CI/V2-K1],CSTL-S57-30 (S36V) [CI/V2-K1],,,"8,932.00",100,100,"893,200"
370,K1모듈,CSTL-S50-25 (S) [CI/V2-K1] (현다이엔지 점등불량반품),CSTL-S50-25 (S) [CI/V2-K1],(현다이엔지 점등불량반품),LK1CST50_10SSV2CIK1,"8,448.00",18,18,"152,064"
371,세종&교은모듈,CFL45-M40-30 (B) [DN/7:5-GR],CFL45-M40-30 (B) [DN/7:5-GR],,LK1CFL4540_12BODNGR,"8,632.00",210,210,"1,812,720"
372,세종&교은모듈,CSTL-M35-30 (S) [CN/6:6(30+40)-GR],CSTL-M35-30 (S) [CN/6:6(30+40)-GR],,LK1CST35_12SODN66GR,"8,932.00",2,2,"17,864"
373,세종&교은모듈,CSTL-S50-25 (S) [CI-GR],CSTL-S50-25 (S) [CI-GR],,LK1CST50_10SSCIGR,"8,448.00",4,4,"33,792"
374,세종&교은모듈,CSTL-S50-25 (S) [CI/V2-GR],CSTL-S50-25 (S) [CI/V2-GR],,LK1CST50_10SSV2CIGR,"8,448.00",9,9,"76,032"
375,세종&교은모듈,CSTL-M57-30 (S) [DN/8:4-GR],CSTL-M57-30 (S) [DN/8:4-GR],,LK1CST57_12SODN84GR,"8,932.00",3,3,"26,796"
376,세종&교은모듈,FL45-L57-30 (S36V) [G10-GR],FL45-L57-30 (S36V) [G10-GR],,LK1F4557G10_12SL36GR,"9,652.00",1,1,"9,652"
377,세종&교은모듈,SSTL-L57-30 (S) [지자체/G10-GR],SSTL-L57-30 (S) [지자체/G10-GR],,LK1SST57G10_12SLGR,"9,652.00",18,18,"173,736"
378,세종&교은모듈,CSCL-S40-25 (S) [CI-SJ],CSCL-S40-25 (S) [CI-SJ],,LK1CSC40_10SSCISJ,"8,448.00",10,10,"84,480"
379,세종&교은모듈,CSTL-M40-25 (S) [CN-SJ],CSTL-M40-25 (S) [CN-SJ],,LK1CST40_10SOCNSJ,"8,448.00",16,16,"135,168"
380,세종&교은모듈,CSTL-S40-25 (S) [CI-SJ],CSTL-S40-25 (S) [CI-SJ],,LK1CST40_10SSCISJ,"8,448.00",1,1,"8,448"
381,세종&교은모듈,CSTL-M50-30 (S) [CN-SJ],CSTL-M50-30 (S) [CN-SJ],,LK1CST50_12SOCNSJ,"8,932.00",1,1,"8,932"
382,세종&교은모듈,CSTL-S50-30 (S36V) [CI-SJ],CSTL-S50-30 (S36V) [CI-SJ],,LK1CST50_12SSCI36SJ,"8,932.00",14,14,"125,048"
383,세종&교은모듈,CSTL-LM50-25-5 (S) [DN-SJ],CSTL-LM50-25-5 (S) [DN-SJ],,LK1CST50_5SLMDNSJ,"8,448.00",80,80,"675,840"
384,세종&교은모듈,CSTL-M57-25 (S) [DN/6:4-SJ],CSTL-M57-25 (S) [DN/6:4-SJ],,LK1CST57_10SODNSJ,"8,448.00",6,6,"50,688"
385,세종&교은모듈,CSCL-S57-25 (S) [CI-SJ],CSCL-S57-25 (S) [CI-SJ],,,"8,448.00",1,1,"8,448"
